questid,dialognum,str,state
59,5,You can make your dream come true if you want it deeply. Therefore you will become Jester if you really want.,0
59,6,Are you playing with me? Or do not you go to the Saint Morning? I do not understand. Hmmâ€¦ Do not make any choice too easily.,0
59,7,Ohâ€¦ Thank you so much for finding this ringâ€¦ We are performing ancestral ceremony of <Kerenen>. But we lost this ring a few years agoâ€¦,0
59,8,But you brought me the ring. It seems like you deserve to be a successor. I will give you a scroll.,0
59,10,Did not <Radion> tell you to bring me something? Do not you have anything?,0
60,0,This scroll proves that you deserve to be a successor. Please bring this scroll and meet Jester priest.,0
60,1,Jester priest is at the Jester altar in Darkon <???}. Show her this and then she will recognize you as a successor of hero.,0
60,2,Oh. There is something to do before you go to the priest. 1 of the jewels of hero which is the preasure of Jester Altar has been stolen these days.,0
60,3,The jewels are to protect the soul of hero but it would not work even 1 is missing. The priest said <Cicipue> appeared around the altar some days agoâ€¦,0
60,4,And the priest thinks that it stoled the jewel. Please hunt it and check if it has the jewel of hero.,0
60,5,Gook luck.,0
60,6,Hmmâ€¦ You should not give up now. Cheer up and make your dream come true.,0
60,7,This is the seal of <Kerenen>â€¦ and the jewel of heroâ€¦ So <Cicipue> was the one who stole the jewel. Thank you very much.,0
60,8,Now we can protect <sould of hero> safely. Thank you. Thank you.,0
60,10,Would you let me know the reason why you visit me? I do not think you have any reason.,0
61,0,Now you have to meet the guardian. Please deliver this mark to the protector. And there is one thing you have to do before that.,0
61,1,There is <Room of Guardian> in <Guardian>. This is where the will of heros are preserved.,0
61,2,Also there is <Venelguardian> which is the guardian soul here. It is a soul which protects the will of hero. You have to get the heart of this soul after combating with it.,0
61,3,Only after getting the heart the guardian will recognize you as Jester. It means that this is the last test to be Jester. Please pass the test.,0
61,5,I wish your luck,0
61,6,Now only the last test left. Do you really give up right now?,0
61,7,Welcome. You passed the last test. Now I appoint you as a successor of Jester officially.,0
61,8,<Kerenen>! His will! Here is a man how wants to follow you. Please bless and give him courage. Jesterexshines!,0
61,10,I think you come to meet me because the priest sent you. But you have not passed the last test.,0
62,0,Thank you for visiting here. But still I am not sure if you deserve to be a successor of Rainger.,0
62,1,So there is a simple test for you. Hunt 20 Drilles in Darkon. Not Small or Captain ones.,0
62,5,I believe you can do that.,0
62,6,You would better give up to be a successor of Ranger if you cannot pass this kind of simple test.,0
62,7,Good job. You passed the first test.,0
62,10,The will of Ranger will not choose you if you fail to hunt 20.,0
62,15,You do not deserve to be a successor of Ranger,0
63,0,Congratulation! You passed the test. Bring this letter of recommendation and go to Ranger Wise Man <Kimel> at the <Fountain of the Dead> in Flaris.,0
63,1,And find <Rubo> who lives in habitat of <Syliaca> in the cave of Darkon2 before meeting him. <Kimel> was taken his letter away by it.,0
63,2,Hunt it and bring the letter to him,0
63,5,I wish your luck.,0
63,6,Do not you have confidence? There is nothing you cannot do if you have confidence. I hope you will make a wise choice.,0
63,7,Yes! This is what I have looking for! Ha ha ha. Actually this letter belongs to Ranger hero <Hynan>. <Hynan> left this letter to his parents in the heaven after he went away.,0
63,8,But <Hynan> lost this letter during the war. And I have heard <Rubo> has this letter some days ago.,0
63,9,Thank you anyway.,0
63,10,Did you meet <Eliff>? Then why are your hands empty? Did not she ask you something? That makes no senseâ€¦,0
64,0,Thank you very much for bring me the letter. And there is someone you have to meet.,0
64,1,Bring this letter and meet High-Dwarpet <Lienkael> at the northwest entrance of Darkon village.,0
64,5,You dream will come true if you want deeply. You can become Ranger if you really want. Of course!,0
64,6,Are you kidding? Or do you get tired of everything? I do not understandâ€¦ Do not make any choice too easily.,0
64,7,Oh! It is the letter! Ha ha ha. Thanks! Actually I was a steward of <Hynan> family. But I am administering the keepsake of <Hynan> these days.,0
64,8,This letter is the last keepsake but was stolen a few years ago. Now fortunately I found it! He he he. I want to reward you.,0
64,9,Here you are. Keep it carefully because it is very precious.,0
64,10,Do not you have anything to deliver me from <Kimel>? Are you sure he did not say anything?,0
65,0,This scroll prove that you deserve to be a successor. Bring it and find the Ranger preist.,0
65,1,Jester priest is at Ranger Altar in Darkon <Ancienight>. He will recognize you as a successor of hero if you show this.,0
65,2,Oh. There is something to do before you go to the priest. Prankster in <Garden of Rhisis> took away all of <History of Hero>.,0
65,3,It consists of 8 books and is very precious. The priest will be very pleased if you found all of this and bring it to him.,0
65,5,Cheers! Do not die. He he.,0
65,6,What? You are so silly. You are almost there but now you give up? How stupidâ€¦,0
65,7,This is definitely the seal of <Hynan>. Also you brought all of 8 books of <History of Hero>. Thank you. Thank you.,0
65,8,I have never thought that I can get it back. Thank you very much.,0
65,10,Is there any reason why you should come to me? I do not think so.,0
66,0,Now you have to meet the guardian. Please deliver this mark to the guardian. Also there is one thing you have to do before that.,0
66,1,There is <Room of Guardian> in the <Guardian>. This is where the will of heroes are preserved.,0
66,2,There is <Venelguardian> who is the guardian soul and protect the will of hero. You have to get its heart through combating with it.,0
66,3,The guardian will recognize as Ranger only when you get its heart. So this is the last test to be Ranger. You have to pass it.,0
66,5,Good luck.,0
66,6,It is the only test left. Are you sure you will not regret after giving up now?,0
66,7,Welcome. You passed the last test. Now I appoint you as a successor of Ranger officially.,0
66,8,<Hynan>! His will! Here is a man how wants to follow you. Please bless and give him courage. Rangerexshines,0
66,10,I think you come to meet me because the priest sent you. But you have not passed the last test,0
67,0,Are you saying that you are going to the most dangerous Decanes?,0
67,5,Then visit a Dwarpet whose name is Rankashu instead of me and ask him to let you know the answer of my question. He is in font of the Dekanes mine.,0
67,6,Ha ha~ I knew you would say no. It is definitely scary.,0
67,7,Thank you. This is the ID card into the mine. Do not think ill of me when you dead and become the vindictive spirit. It is your choice.,0
67,10,Why is it that difficult to get some news? You are extraordinary incompetent. Just go quickly.,0
68,0,I am the son of Nevil who was the great chief of Keakoon. We were friendly to human being.,0
68,1,We helped human to develop the mine. But we became miserable after they left.,0
68,2,My farther is especially miserable because he is having hard time in the prison in that old age. Please help me and rescue him.,0
68,5,We need a key to open the door of the prison where my farther is. Keakoons insind of it is keeping the 3 pieces of the key. Bring them to me.,0
68,6,You are liar. You are not my friend!,0
68,7,Ohâ€¦Thank youâ€¦(crying) Thank you very much for your help.,0
68,10,You have to gather 3 different pieces of the key. It would not that easy.,0
69,0,To be honestâ€¦ Sorry my friend but I still have one more request. Please free my farther from the prison instead of me.,0
69,5,You are my real friend. Bring this key and free my farther. Then I will reward you. Please.,0
69,6,Finally human being is unbelievable fellow. Right?,0
69,7,"",0
69,10,The prison where my farther is in Keakoon village which is in the most right side. Please hurry up.,0
70,0,Thank you a lot. You should be so brave that you requested me. I am sorry but would you do me a favor?,0
70,5,Actually I have 2 requests. First please hunt the captains of Keakoon and bring me the seal which can prove that I am the chief of the Keakoon. Second please bring me my package which my son is keeping.,0
70,6,You can not be a brave man if you do not help others even though you have the power.,0
70,7,"Thank you, I hope Keakoon and human being can be friendly as they did in the past. This ring is a gift for you. By the way you really like adventure.",0
70,8,This mine is the best place if you want adventure. If you want more thrill visit Bernard in Darkon village. Maybe you can solve the secret of this cursed mine. And this key is for moving to next zone. Please be carful because it is very dangerous.,0
70,10,Hmmâ€¦ It would be not that difficult since you could resque me.,0
71,0,Hmmâ€¦ Is that the ring of Keakoon Nevil around your finger? Maybe you resqued Nevil and quelled a rebellion of Keakoons.,0
71,1,Then would you do me a favor? Roachfl is related to the death of people in the mine before.,0
71,2,I need the blood of the larva of that thing to reveal the relation between that thing and the death of people. Would you bring it to me?,0
71,5,Thank you. There are two kinds of Roachfl - Pinky and Blue. And you can get the blood when you break the egg and hunt of Roachfl. Maybe you can open the entrance door easily.,0
71,6,You cannot get the real treasure if you avoid danger.,0
71,7,"Oh, Thank you. Now I have collected every material on their habit and character.",0
71,10,No~No~ Bring me more information. The vindictive spirits which died in the mind are looking at you.,0
72,0,I found out that the toxicity of the Roachfl is related to the death of people in the mine after studying the blood of the larvars.,0
72,1,Especially the fatal virus to human being comes out from the queen of Roachfl â€“ Roachqueen as I found out.,0
72,2,Bring me the blood of Pinky and Blue Roachqueen in order to make vaccine. Can you do that?,0
72,5,To wake up Roachqueen you have to sprinkle this liquid on its eggs. Please be careful because Roachqueen is very dangerous.,0
72,6,Why do not you help me out by the end?,0
72,7,Now I can comfort numbers of sprits which died in the mine because of you. This vaccine will make them powerless.,0
72,8,Here is a weapon which I give to you as a present. And you can go deep into the mine with this ID card.,0
72,9,It is all of a sudden that the Roachfles came up in the mine. Maybe you can find out the reason when you go deep into the mine.,0
72,10,I belive you can do that. You can bring your company if you need.,0
73,0,What brought you here? Do not know you that so many people died here in the past? Oh. Are you here to check the death of many people?,0
73,1,You can not found out the course and events without my help. If you do my favors I will let you know about it. What do you think?,0
73,5,Fine. But I have to test you before telling you my requests. There are stones which is called Cillin here in the mine lot. Bring me 30 Cillins.,0
73,6,You would better go home and take a nap if you cannot bring even the stones.,0
73,7,Hmmâ€¦ You pass but it was very simple testâ€¦ Fine. Here is my request. Please keep this money as my present.,0
73,10,I said 30. Not 29 or 28. Bring me 30 Cillin.,0
74,0,The reason why I am here in this Dekanes mine is to dig mineral which is called Ribenuum. You can get Ribenuum only here in this wide Darkon area.,0
74,1,Because Ribenuum is made only when Green Trillipy eats stone and makes its backplate. The Green Trillipy lives only here.,0
74,2,But it is really dangerous. And human being is also dangerous so why do not you bring it to me?,0
74,5,Green Trillipy is in the room of the right side after going out of the passage which is different from the one which you entered through. Maybe it is easy to find out because you cannot go into the left side.,0
74,6,Are you kidding me? Go home and do not make a fun of a kind Dwarpet like me.,0
74,7,Anyway you brought 20 Ribenuums. But these Ribenuums has some flaw.,0
74,10,Is not it a piece of cake to bring 30 Ribenuum?,0
75,0,These Ribenuums you brought have too low degree of purity. It is very easy for Dwarpets to refine Ribenuum actually. But other Dwarpets would laugh at me if I bring these Ribenuums.,0
75,1,Finally I have to refine these Ribenuums in the human village and there is only one person who can do that as I know. His name is Nein and he worked in this mine before.,0
75,2,Would you bring these Ribenuums to him and let them refined? Then bring them back to me. Okay?,0
75,5,I have heard that Nein lives somewhere in the Dead Walldernis Desert. Go and bring me back the Ribenuums which have high degree of purity. Maybe they will become 10 after refining.,0
75,6,Are you kidding me? Go home and do not make a fun of a kind Dwarpet like me,0
75,7,You are so great that you bring me these Ribenuums which have high degree of purity. Here are necklace and some money as reward.,0
75,10,Yeahâ€¦maybe it is too diffulcult for youâ€¦ Why do not you just go home?,0
76,0,Ribenuum is useless metal to human being. Do you have a Dwarpet friend? Ha ha ha. Let me see. These have too low degree of purity. It is hard to refine them without nothing.,0
76,1,I need some special metal which is called Triduum in order to refine them. You can get this metal only from the backplate of Violet Trillipy. But it lives only deep in the Dekanes mine.,0
76,2,In addition you need a special ID card to go into there. Wellâ€¦if you really need Ribenuumâ€¦bring me 20 Triduums. I need 20 to refine them.,0
76,5,Fine. First you need the ID card to go into where Violet Trillipy lives. You would better find and ask the former laborers of mine.,0
76,6,Ha ha ha. It would be okay to do that if you need. Hope you are not doing this only for Dwarpet,0
76,7,Here are the Ribenuums with high degree of purity which I refined with the materials you brought. But if Dwarpet Kazen asked you theseâ€¦there should be something in his mind.,0
76,8,Because he really hates human beingâ€¦ So there should be a reason if he was friendly to you. Also there is a rumor which says he is related to the mysterious death in mine.,0
76,9,So tell me right away if there is something suspicious with him. Maybe I can help you.,0
76,10,Why do not you give up and just relax?,0
77,0,What? Do you want to know where Violet Trillipy lives? You are really curious about the cursed mine. There is not much people who knows about it.,0
77,1,Only a few of the mine laborers can go into the area. I do not know anything about the mine laborers or ID card. Oh! You would better to visit Bernard.,0
77,5,Fine. Please say hi to him anyway.,0
77,6,You are right. You do not need to suffer.,0
77,7,Violet Trillipyâ€¦. Do you mean you want to go into there?,0
77,10,Why do not you give up and just relax?,0
78,0,It is not difficult to give you the ID card butâ€¦I do not want to make people dieâ€¦hicâ€¦ Fine. Hunt some Watangka if you want to prove that you have the ability.,0
78,1,You can hunt Violet Trillipy if you can hunt them.,0
78,5,"Then, take care~",0
78,6,Hmmâ€¦ Violet Trillipy is stronger than them.,0
78,7,Okay. Here is the ID card. Please come back alive.,0
78,10,Hic~ Why do not you just relax?,0
80,0,Some kinds of grapes for wine are growing is Madrigal. Especially the wines which are made from <Flaris variety>/<Saint variety>/<Darkon variety> are,0
80,1,named <Beaujolais> and you can get mysterious power when you drink them according to the legend.,0
80,2,It seems like these 3 kinds of grape has a magical power of the earth as I studied for a long time.,0
80,3,But we do not have these grapes at the moment even though it is harvest season because the monsters took them away.,0
80,4,Therefore we can not drink the wine which we waited for a long time. In addition the monsters will get the magical power. Would you bring the grapes back?,0
80,5,Oh thank you. There are 3 kinds of grape dividing by the growing area. Please gather 20 grapes of this area because I cannot brew wine with the grapes from other area.,0
80,6,Hmmâ€¦ I cannot brew wine until the lifting day of Beaujolais ban in this situationâ€¦!,0
80,7,Oh~! I can brew wine a little bit with them!! Thank you. I want to reward you with 1 bottle of Beaujolais Flaris which was made from the grapes other adventurer brought.,0
80,8,You can find out the taste of itâ€¦enjoy yourself with it.,0
80,10,Is this all? It is not enough to brew wine. I need more than 20 grapes at lest. Please!,0
80,11,And if you have the grapes of other areaâ€¦you would better deliver them to the person who brew wine in that area.,0
81,0,Some kinds of grapes for wine are growing is Madrigal. Especially the wines which are made from <Flaris variety>/<Saint variety>/<Darkon variety> are,0
81,1,named <Beaujolais> and you can get mysterious power when you drink them according to the legend.,0
81,2,It seems like these 3 kinds of grape has a magical power of the earth as I studied for a long time.,0
81,3,But we do not have these grapes at the moment even though it is harvest season because the monsters took them away,0
81,4,Therefore we can not drink the wine which we waited for a long time. In addition the monsters will get the magical power. Would you bring the grapes back?,0
81,5,Oh thank you. There are 3 kinds of grape dividing by the growing area. Please gather 20 grapes of this area because I cannot brew wine with the grapes from other area,0
81,6,Hmmâ€¦ I cannot brew wine until the lifting day of Beaujolais ban in this situationâ€¦!,0
81,7,Oh~! I can brew wine a little bit with them!! Thank you. I want to reward you with 1 bottle of Beaujolais Flaris which was made from the grapes other adventurer brought,0
81,8,If you use a skill after drinking this wineâ€¦you can try it by yourself!,0
81,10,Is this all? It is not enough to brew wine. I need more than 20 grapes at lest. Please!,0
81,11,And if you have the grapes of other areaâ€¦you would better deliver them to the person who brew wine in that area.,0
82,0,Some kinds of grapes for wine are growing is Madrigal. Especially the wines which are made from <Flaris variety>/<Saint variety>/<Darkon variety> are,0
82,1,named <Beaujolais> and you can get mysterious power when you drink them according to the legend,0
82,2,It seems like these 3 kinds of grape has a magical power of the earth as I studied for a long time.,0
82,3,But we do not have these grapes at the moment even though it is harvest season because the monsters took them away.,0
82,4,Therefore we can not drink the wine which we waited for a long time. In addition the monsters will get the magical power. Would you bring the grapes back?,0
82,5,Oh thank you. There are 3 kinds of grape dividing by the growing area. Please gather 20 grapes of this area because I cannot brew wine with the grapes from other area,0
82,6,Hmmâ€¦ I cannot brew wine until the lifting day of Beaujolais ban in this situationâ€¦!,0
82,7,Oh~! I can brew wine a little bit with them!! Thank you. I want to reward you with 1 bottle of Beaujolais Flaris which was made from the grapes other adventurer brought.,0
82,8,This is very unique and mysterious wine.. If you drink thisâ€¦ wellâ€¦ try it by yourself!,0
82,10,Is this all? It is not enough to brew wine. I need more than 20 grapes at lest. Please!,0
82,11,And if you have the grapes of other areaâ€¦you would better deliver them to the person who brew wine in that area.,0
83,0,Help! Help! My cash box... My money... Ahhh!! Someone stole my cash box! Oh my God!!,0
83,1,"(After a while) Actually, I was saving money in my cash box in order to buy a present for my girlfriend, but it disappeared this morning.",0
83,2,"So I have asked people, and they said that there are unknown thieves in north Leren Mountains these days. I am doubting them now.",0
83,3,"But I cannot believe it before I see them with my own eyes. Could you please check them instead of me, maybe? Please~",0
83,5,Thank you! Please bring me the evidence which proves that they really exist if you find them.,0
83,6,"Are you saying that it is none of your business? Well, I can ask someone else. I do not need you!",0
83,7,Hmm? So the thieves really exist. Thank you very much.,0
83,10,"I think this is good evidence, but.. I want a more conclusive one!",0
84,0,"I asked the witnesses with the evidence you have brought to me, and now it is clear they had stolen my cash box. Now the only thing I have to do is get back the cash box from them.",0
84,1,I am really sorry but please do me a favor once again. I can buy the present for my girlfriend only after getting back the money inside the cash box. In addition..,0
84,2,It will soon be our 100th day anniversary.. So would you please get my cash box back from them? I will reward you.,0
84,5,"Thank you. Thank you very much. As I heard, one of them is keeping the cash box.",0
84,6,You make me really dissapointed.. Phew.. It is okay..,0
84,7,I really appreciate you.. Thank you.. Thank you.. Please receive my present.,0
84,10,Where is my cash box? You have not found it out yet. Please bring it to me. I will be waiting.,0
85,0,Do you know that a big meteorite has fallen into nearby Saint Morning a few days ago? But.. (Looking around),0
85,1,(Whispering) Some pieces of broken meteorite usually changes into a very rare metal. We call it Meteoritil.,0
85,2,It is the best material for making expensive arm or armor in Madrigal. And..,0
85,3,"..It usually takes about 500 years to get it. But this time, we can get a really big Meteoritil.",0
85,4,Therefore.. Would you please bring it to me secretly?,0
85,5,Ha ha ha.. Hush! (Looking around and whispering) Then please bring me 5 Meteoritils. The meteorite has fallen somewhere in south Saint Morning.,0
85,6,"Huh! Okay, I do not need you! You are not very kind...",0
85,7,Oh.. This is the real Meteoritil.. How beautiful it is.. Oh my God..,0
85,8,"(Surprising) Oh, sorry. I did not even say thank you. I was too excited.. Ha ha ha~",0
85,9,"Thank you very much. You did really good job. Thank you, thank you. (Looking Meteoritil again and admiring it)",0
85,10,It is not easy to get. But you will be able to get it some day if you keep trying. Ha ha ha~,0
86,0,Oh.. Now I am in big trouble.. (Surprised) Gosh! Have you been standing there? Did you hear everything I was saying?,0
86,1,"You heard? Hmm.. Okay, I will tell you what happened. I am in charge of play scripts. But..",0
86,2,The new play script <The Sky of Madrigal> has disappeared. I do not know what I should do.. I will be fired..,0
86,3,"Actually I know who stole it. His name is Colar, and I think he did it as payback for being fired. But if I am fired..",0
86,4,Everyone will know that the play script has disappeared. Umm.. So.. Would you please do me a favor? Would you please bring me the play script from ????,0
86,5,"Oh, Thank you very much! ??? is hiding in somewhere of Darkon1. Please find him out.",0
86,6,Now what can I do..? I will be fired.. Oh my God..,0
86,7,He..Hey! I do not have the play script! How could you think I do?,0
86,8,"Well, yes. I stole it. But the grave robber who was riding some kind of strange machine took it from me.",0
86,9,The machine was spouting steam.. And the grave robber was riding on and controlling it. That is why I am in this terrible situation now.,0
86,10,All I know is that he is in somewhere of Darkon1. Please find him.,0
87,0,"Hey! I am not lying! Why on earth do you not believe me? Yes, I stole the play script, but it was just simply revenge!",0
87,1,"There is no evidence which proves that I am a liar, right? So if you want to find the play script..",0
87,2,I think someone among them has it.,0
87,5,"Hey! Hey! I want to get out of here! Help me, please! Hey!!!",0
87,6,"Yes, I know it is none of your business. But help me anyway. Huh? Please!",0
87,7,"(Crying) ..Thank you, thank you.. Finally I found it.. Thank you very much..",0
87,8,"If you came a little bit later, everyone would know that I would be fired..",0
87,9,This is my present for your effort. Please do not deny it. Thank you.,0
87,10,Please find it quickly. Please.. I do not want to be fired.. Please..,0
88,0,"Oh my God, oh my God. (Looking at me) Huh? Ahh, are you curious as to why I am so nervous? Actually we, Helpers, have a test once in a year.",0
88,1,"And the test will be coming soon. But the date has moved up all of a sudden, so now I am worried. But I will surely pass because I am good helper!",0
88,2,"But I have never been first because of Herth! This year, I will do anything to be first! But I need help from others.",0
88,3,So.. Would you help me?,0
88,5,"Thank you. You can get Helper Text Book in the office. Would you please bring it to me? It is very simple, right?",0
88,6,"(With a glum look) Okay.. I will ask someone else.. Well, thank you anyway.",0
88,7,"Yes, it is definitely 2 pieces of Helper Text Book. Those are the range of possible questions. Huh?",0
88,8,Sure! Those are the range of possible questions. I am sure!,0
88,9,Thank you very much. Please come to me if you need my help.,0
88,10,"Oh, thank you but this Helper Text Book is not what I need. Please bring me another Helper Text Book. I am sorry.",0
89,0,Hey! Hey! I am in big trouble now! My drawing.. My best drawing has disappeared!! (Crying),0
89,1,(Still crying) My hobby is collecting rare and good drawings. But the most expensive one has disappeared.,0
89,2,It is the portrait of Radion. I am doubting a lot of people now.. How can I find and get it back? Oh..,0
89,3,Now what can I do.. Oh! I have an idea! Hey! Would you do me a favor?,0
89,5,Fine! First please visit Helgar who is working as a connoisseur in SainCity.I am sure he knows the way.,0
89,6,(Grabbing my throat) No! I have to get it back! Help me!!,0
89,7,What? Has the portrait disappeared? Hmm.. I thought Rudvihil would do it someday.. Phew..,0
89,8,Rudvihil is so mean that he would do anything to get rare and expensive things.. He is very mean..,0
89,9,Now it is time for revenge.,0
89,10,"Oh, do you have anything to appraise? Please show me.",0
90,0,"I do not want to be related with Rudvihil, but I will let you know the way to get the potrait back, because it is very valuable. Listen, do you know about High-Dwarpet?",0
90,1,"Yes, maybe you have met before. I have asked here and there about the potrait that disappeared and I heard a story which could be the way to get it back.",0
90,2,Those High-Dwarpets are collecing ancient books and other rare treasures. Here is the key to solve this riddle. How can they collect these things more easiliy than others?,0
